City,State,Year,Median_Income
Birmingham city,Alabama,2010,30212
Dothan city,Alabama,2010,39806
Hoover city,Alabama,2010,69359
Huntsville city,Alabama,2010,44419
Mobile city,Alabama,2010,37438
Montgomery city,Alabama,2010,41380
Tuscaloosa city,Alabama,2010,35838
Anchorage municipality,Alaska,2010,72128
Avondale city,Arizona,2010,61369
Chandler city,Arizona,2010,67648
Flagstaff city,Arizona,2010,45042
Gilbert town,Arizona,2010,77866
Glendale city,Arizona,2010,45699
Goodyear city,Arizona,2010,71030
Mesa city,Arizona,2010,44747
Peoria city,Arizona,2010,53848
Phoenix city,Arizona,2010,42260
San Tan Valley CDP,Arizona,2010,59434
Scottsdale city,Arizona,2010,68824
Surprise city,Arizona,2010,57114
Tempe city,Arizona,2010,45151
Tucson city,Arizona,2010,36428
Yuma city,Arizona,2010,45789
Fayetteville city,Arkansas,2010,32908
Fort Smith city,Arkansas,2010,37856
Jonesboro city,Arkansas,2010,34329
Little Rock city,Arkansas,2010,44415
Springdale city,Arkansas,2010,40256
Alameda city,California,2010,68731
Alhambra city,California,2010,49435
Anaheim city,California,2010,54157
Antioch city,California,2010,62088
Apple Valley town,California,2010,46250
Arden-Arcade CDP,California,2010,41476
Bakersfield city,California,2010,53038
Baldwin Park city,California,2010,43546
Bellflower city,California,2010,47024
Berkeley city,California,2010,56623
Buena Park city,California,2010,61262
Burbank city,California,2010,61520
Camarillo city,California,2010,72193
Carlsbad city,California,2010,77097
Carson city,California,2010,67192
Chico city,California,2010,44062
Chino city,California,2010,70942
Chino Hills city,California,2010,100099
Chula Vista city,California,2010,66246
Citrus Heights city,California,2010,50280
Clovis city,California,2010,65471
Compton city,California,2010,43728
Concord city,California,2010,65695
Corona city,California,2010,74015
Costa Mesa city,California,2010,63570
Daly City city,California,2010,72307
Davis city,California,2010,58771
Downey city,California,2010,53490
East Los Angeles CDP,California,2010,38986
El Cajon city,California,2010,43435
Elk Grove city,California,2010,75590
El Monte city,California,2010,41076
Escondido city,California,2010,43102
Fairfield city,California,2010,61603
Folsom city,California,2010,93620
Fontana city,California,2010,58579
Fremont city,California,2010,87385
Fresno city,California,2010,41144
Fullerton city,California,2010,65360
Garden Grove city,California,2010,60974
Glendale city,California,2010,51923
Hawthorne city,California,2010,41541
Hayward city,California,2010,59890
Hemet city,California,2010,31739
Hesperia city,California,2010,42651
Huntington Beach city,California,2010,72469
Indio city,California,2010,36355
Inglewood city,California,2010,40761
Irvine city,California,2010,85615
Lake Forest city,California,2010,91670
Lakewood city,California,2010,73793
Lancaster city,California,2010,50492
Livermore city,California,2010,95941
Long Beach city,California,2010,51426
Los Angeles city,California,2010,47031
Lynwood city,California,2010,38417
Manteca city,California,2010,57082
Menifee city,California,2010,52739
Merced city,California,2010,39834
Milpitas city,California,2010,92398
Mission Viejo city,California,2010,92838
Modesto city,California,2010,47983
Moreno Valley city,California,2010,48907
Mountain View city,California,2010,90993
Murrieta city,California,2010,70962
Napa city,California,2010,52991
Newport Beach city,California,2010,97140
Norwalk city,California,2010,57149
Oakland city,California,2010,49190
Oceanside city,California,2010,62422
Ontario city,California,2010,53764
Orange city,California,2010,72784
Oxnard city,California,2010,61316
Palmdale city,California,2010,53048
Pasadena city,California,2010,67047
Perris city,California,2010,45251
Pittsburg city,California,2010,56663
Pleasanton city,California,2010,109662
Pomona city,California,2010,45909
Rancho Cucamonga city,California,2010,76640
Redding city,California,2010,40741
Redlands city,California,2010,71758
Redondo Beach city,California,2010,90507
Redwood City city,California,2010,76468
Rialto city,California,2010,46818
Richmond city,California,2010,46996
Riverside city,California,2010,53847
Roseville city,California,2010,69932
Sacramento city,California,2010,46731
Salinas city,California,2010,47738
San Bernardino city,California,2010,38640
San Buenaventura (Ventura) city,California,2010,60722
San Diego city,California,2010,60037
San Francisco city,California,2010,71745
San Jose city,California,2010,76794
San Leandro city,California,2010,65333
San Marcos city,California,2010,47942
San Mateo city,California,2010,82075
San Ramon city,California,2010,115347
Santa Ana city,California,2010,51467
Santa Barbara city,California,2010,61245
Santa Clara city,California,2010,81366
Santa Clarita city,California,2010,76384
Santa Maria city,California,2010,51450
Santa Monica city,California,2010,66269
Santa Rosa city,California,2010,54666
Simi Valley city,California,2010,84507
South Gate city,California,2010,39739
Stockton city,California,2010,45606
Sunnyvale city,California,2010,95582
Temecula city,California,2010,70194
Thousand Oaks city,California,2010,95281
Torrance city,California,2010,69288
Tracy city,California,2010,70894
Turlock city,California,2010,53605
Tustin city,California,2010,73889
Union City city,California,2010,77745
Upland city,California,2010,61497
Vacaville city,California,2010,71706
Vallejo city,California,2010,56209
Victorville city,California,2010,52062
Visalia city,California,2010,51464
Vista city,California,2010,46033
West Covina city,California,2010,62413
Westminster city,California,2010,49889
Whittier city,California,2010,60540
Yorba Linda city,California,2010,100788
Arvada city,Colorado,2010,61046
Aurora city,Colorado,2010,50358
Boulder city,Colorado,2010,52618
Centennial city,Colorado,2010,79690
